Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
Bosnia and Herzegovina,Other Europe,71.7,75,0.78,"$14,964 ",UM,3.2,1.1,0.4,0.7,1.8,0.3,0,4.3,0.8,0.3,1.058.867.994,237.759,38.085.376,2.173.852.297,-2.091.693.634,2.824.462.006,1.962.205.959
Botswana,Africa,61.4,61,0.69,"$16,519 ",UM,2.4,0.3,0.3,0.2,1.3,0,0,2.2,0.1,1.9,645.552.946,210.410.777,33.459.921,2.902.419.861,680.635.387,1.471.170.615,765.493.823
Brazil,South America,72.8,73,0.75,"$14,739 ",UM,215.4,0.5,0.6,0.4,0.7,0.1,0.2,2.6,0.8,0.8,6.128.738.473,158.958.909,236.773.366,8.177.126.233,5.625.306.893,1.689.705.582,312.067.989
Brunei Darussalam,Asia-Pacific,67.1,75,0.83,"$64,198 ",HI,0.4,0.4,0.2,0.2,6.8,0.3,0,7.9,0,0,1.402.184.299,1.156.231.674,3.809.923,2.617.611.086,-5.291.012.187,5.236.751.947,3.021.313.332
Bulgaria,EU-27,74.3,72,0.8,"$24,490 ",UM,6.8,0.8,0.2,0.5,1.9,0.1,0.1,3.6,1.5,0.2,1.119.766.166,136.829.639,110.499.365,3.084.292.312,-497.837.046,2.371.932.792,1.161.410.462
Burkina Faso,Africa,54.5,59,0.45,"$2,281 ",LI,22.1,0.3,0.1,0.3,0.1,0,0,0.9,0.3,0.1,203.774.768,1.008.903,22.283.693,694.622.433,-203.164.148,594.475.861,1.292.481.409
Burundi,Africa,54.1,62,0.43,$733,LI,12.6,0.3,0.1,0.2,0,0,0,0.6,0.2,0.1,7.316.808,6.154.334,49.625.412,356.306.547,-2.372.992,393.060.327,1.665.997.306
Cabo Verde,Africa,,74,0.66,"$6,629 ",LM,0.6,,,,,,,1.2,,,,,,437.320.562,-724.858.382,769.545.171,2.657.498.972
Cambodia,Asia-Pacific,63.8,70,0.59,"$4,705 ",LI,17.2,,,,,,,1.3,,,,,,101.194.657,-327.504.084,886.926.912,1.323.637.724
Cameroon,Africa,55.5,60,0.58,"$3,767 ",LM,27.9,0.5,0.1,0.2,0.1,0.1,0.1,1,0.5,0.1,72.635.079,60.928.803,50.792.785,1.426.698.897,382.675.283,691.307.767,731.775.721
Canada,North America,77.7,83,0.94,"$49,516 ",HI,38.4,1.3,0.3,1.1,4.6,0.1,0,7.4,2.7,0.3,8.024.229.903,3.150.398.408,40.869.635,142.410.608,6.820.419.866,4.913.630.919,521.073.608
Central African Republic,Africa,39.3,54,0.4,$944,LI,5,0.4,0.4,0.2,0,0,0,1.1,0.4,0.5,5.526.731.194,0,23.683.815,6.411.713.946,5.294.840.348,739.545.909,174.192.674
Chad,Africa,41.3,53,0.39,"$1,460 ",LI,17.4,0.3,0.8,0.2,0,0,0,1.4,0.3,0.8,238.273.209,5.162.845,23.336.257,1.442.213.862,67.589.937,910.217.147,953.134.595
Chile,South America,77.8,79,0.86,"$24,433 ",UM,19.3,0.6,0.5,1,1.6,0.1,0.1,3.8,0.3,0.4,2.038.244.344,343.150.417,118.355.688,3.231.436.235,-610.397.283,2.543.897.776,1.188.893.495
China,Asia-Pacific,72.4,78,0.77,"$18,299 ",UM,"1,480.60",0.5,0.1,0.2,2.6,0.1,0.1,3.6,0.3,0.1,223.058.918,42.214.858,123.909.995,802.130.192,-2.816.518.632,2.396.114.421,4.511.298.614
Colombia,South America,70.1,73,0.75,"$15,610 ",UM,51.5,0.6,0.7,0.1,0.5,0,0.1,2,0.5,1.1,1.895.293.089,636.728,66.788.107,3.587.634.761,1.610.520.636,1.309.160.379,55.109.125
Comoros,Africa,,63,0.56,"$2,874 ",LI,0.9,,,,,,,2,,,,,,332.177.648,-1.652.631.554,131.425.573,5.975.143.761
