Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
New Zealand,Asia-Pacific,78.3,82,0.94,"$43,178 ",HI,4.9,,,,,,,5.4,,,,,,8.447.231.686,3.021.001.811,3.593.017.251,642.367.828
Nicaragua,Central America/Caribbean,67.1,74,0.67,"$6,056 ",LM,6.8,0.5,0.2,0.4,0.4,0,0.1,1.5,0.6,0.5,696.956.617,426.086.185,9.010.544,2.310.417.773,816.845.391,988.979.727,646.451.218
Niger,Africa,52.2,62,0.4,"$1,229 ",LI,26.1,0.7,0.3,0.2,0.1,0,0,1.4,0.7,0.3,30.725.086,422.347,13.122.162,1.074.301.895,-276.005.627,894.115.866,1.256.916.262
Nigeria,Africa,54.2,53,0.54,"$5,013 ",LM,216.7,0.3,0.1,0.2,0.2,0,0,0.8,0.3,0.1,33.039.166,1.450.929,47.224.406,446.354.238,-354.981.077,530.609.959,1.795.290.033
Norway,Other Europe,82.3,83,0.96,"$66,643 ",HI,5.5,0.9,0.1,0.8,2.6,0.9,0.1,5.4,0.2,0.1,3.439.090.343,2.879.183.276,1.350.639,6.747.554.557,1.348.820.882,3.574.810.445,800.102.264
Oman,Middle East/Central Asia,69.2,73,0.82,"$30,222 ",HI,5.3,0.7,0.3,0.1,4.9,0.8,0.5,7.3,0.1,0,1.006.289,1.181.415.343,51.744.752,1.801.254.966,-5.480.212.207,482.147.601,4.042.441.137
Pakistan,Asia-Pacific,59.3,66,0.54,"$5,542 ",LM,229.5,0.3,0,0.1,0.3,0,0,0.7,0.3,0,16.762.376,27.482.753,44.070.495,361.549.059,-368.417.693,48.335.275,2.018.997.791
Panama,Central America/Caribbean,64,76,0.81,"$30,907 ",UM,4.4,0.6,0.4,0.2,0.8,0.4,0.1,2.3,0.3,0.4,1.323.250.976,528.577.331,81.230.734,2.627.580.918,307.799.378,153.606.008,882.858.269
Papua New Guinea,Asia-Pacific,53.6,65,0.56,"$3,682 ",LM,9.3,0.2,0,0.3,0.2,0.2,0.2,1.2,0.2,0,1.954.178.013,519.162.506,169.813.039,2.900.181.196,1.745.338.463,764.687.446,398.196.752
Paraguay,South America,67.4,70,0.72,"$12,359 ",LM,7.3,0.7,0.8,0.9,0.7,0,0.1,3.2,1.9,2.3,5.336.883.702,51.431.432,109.623.515,9.647.940.739,6.497.611.479,2.086.013.243,32.652.867
Peru,South America,71.9,72,0.76,"$12,878 ",UM,33.7,0.6,0.5,0.1,0.5,0.4,0.1,2.2,0.5,0.5,2.351.926.112,180.927.444,94.338.937,3.546.836.383,13.089.486,1.481.833.538,630.953.205
Philippines,Asia-Pacific,66.6,69,0.7,"$8,768 ",LM,112.5,0.3,0,0.1,0.5,0.2,0.1,1.2,0.2,0,71.795.096,57.197.699,67.062.712,402.745.802,-77.663.592,780.936.114,2.928.352.614
Poland,EU-27,80.5,76,0.88,"$35,703 ",HI,37.7,1,0,0.8,2.6,0.1,0.1,4.6,1,0.1,684.798.759,105.937.226,123.989.819,2.016.241.672,-2.632.431.214,3.078.152.283,2.305.612.938
Portugal,EU-27,79.2,81,0.87,"$34,950 ",HI,10.1,0.8,0.4,0.4,1.6,0.4,0.1,3.7,0.3,0.2,835.073.402,75.106.238,62.307.541,1.478.047.303,-2.241.348.574,2.462.824.809,2.516.425.468
Qatar,Middle East/Central Asia,66.8,79,0.86,"$96,605 ",HI,3,0.7,0.3,0.2,11.6,0.2,0.1,13.1,0,0,0,902.741.632,116.206.201,103.899.563,-1.208.733.856,8.691.696.866,1.263.367.603
Republic of Moldova,Other Europe,73.9,69,0.77,"$14,320 ",LM,4,,,,,,,1.5,,,,,,1.009.467.663,-512.739.072,100.794.017,150.793.016
Republic of North Macedonia,Other Europe,72.3,75,0.77,"$16,896 ",UM,2.1,0.7,0.3,0.3,1.5,0,0,2.8,0.5,0.3,698.503.606,8.635.438,4.398.368,155.133.585,-1.262.256.192,1.863.040.266,1.813.657.592
Réunion,Africa,,,,,,0.9,,,,,,,3.5,,,,,,123.645.377,-3.367.670.784,2.311.800.179,2.823.652.807
Romania,EU-27,77.7,73,0.82,"$31,367 ",UM,19,0.6,0.1,0.5,1.4,0,0.1,2.7,0.9,0.2,1.078.524.771,101.551.682,103.657.575,2.450.628.155,-287.037.123,1.812.764.811,1.117.127.979
Russian Federation,Other Europe,74.1,69,0.82,"$25,706 ",UM,145.8,1.2,0.1,0.7,3.6,0.2,0,5.8,1.9,0.3,4.210.828.797,1.187.785.838,26.224.688,7.712.083.888,1.910.912.299,3.841.287.612,752.218.424
Rwanda,Africa,59.4,66,0.53,"$2,405 ",LI,13.6,0.2,0,0.2,0.1,0,0,0.6,0.2,0,673.208,447.253,38.914.646,243.488.781,-31.054.098,366.854.802,2.275.381.063
Saint Lucia,Central America/Caribbean,,71,0.72,"$14,140 ",UM,0.2,0.5,0.1,0.1,0.9,0.2,0,1.7,0.1,0,95.920.288,144.040.383,2.131.223,376.356.935,-1.335.471.567,113.349.959,4.548.417.589
Saint Vincent and Grenadines,Central America/Caribbean,,70,0.75,"$13,280 ",UM,0.1,,,,,,,1.8,,,,,,1.155.476.716,-659.357.094,1.201.705.298,1.570.636.417
Samoa,Asia-Pacific,0,73,0.71,"$5,084 ",LM,0.2,,,,,,,2.5,,,,,,1.662.282.108,-82.147.034,1.644.634.599,1.494.182.267
Sao Tome and Principe,Africa,59.4,68,0.62,"$4,010 ",LM,0.2,,,,,,,1.1,,,,,,700.090.513,-351.779.258,696.503.156,1.502.476.825
Saudi Arabia,Middle East/Central Asia,66.6,77,0.88,"$47,423 ",HI,35.8,0.8,0.2,0.2,4.5,0.1,0,5.7,0.4,0.1,49.429.421,140.564.155,43.026.058,697.532.479,-5.047.947.389,3.804.410.937,823.686.358
Senegal,Africa,58.7,67,0.51,"$3,505 ",LM,17.7,0.5,0.2,0.2,0.2,0.1,0,1.2,0.3,0.1,345.240.162,137.812.508,44.698.919,1.000.162.642,-219.361.335,807.516.598,1.219.325.663
Serbia,Other Europe,75.9,73,0.8,"$20,474 ",UM,8.7,1,0.1,0.6,2,0,0.1,3.8,1.3,0,550.451.908,4.598.381,111.434.224,2.054.991.936,-1.775.586.759,2.536.445.314,1.864.035.877
Sierra Leone,Africa,53,60,0.48,"$1,677 ",LI,8.3,0.5,0.1,0.3,0.1,0.1,0,1,0.4,0.2,114.758.269,157.742.667,33.035.202,921.573.084,-124.702.882,692.799.178,1.135.315.239
Singapore,Asia-Pacific,71.7,83,0.94,"$112,699 ",HI,5.9,0.6,0.3,0,4.4,0.4,0.1,5.7,0,0,2.074.859,12.136.597,89.583.924,104.126.803,-5.633.904.237,3.799.478.642,5.510.618.678
Slovakia,EU-27,78.7,75,0.85,"$33,079 ",HI,5.5,0.8,0.2,0.6,2.4,0,0.1,4.2,0.9,0.1,1.526.890.059,6.210.991,117.204.922,2.665.671.799,-1.493.307.176,2.753.897.928,1.560.199.187
Slovenia,EU-27,,81,0.92,"$41,570 ",HI,2.1,0.7,0.2,1.3,2.4,0.1,0.1,4.8,0.4,0.2,185.220.056,5.133.365,78.533.372,2.485.838.691,-2.296.160.244,3.166.435.088,1.923.696.397
Solomon Islands,Asia-Pacific,0,70,0.56,"$2,043 ",LI,0.7,,,,,,,1.7,,,,,,3.324.442.199,165.949.821,1.102.454.672,500.819.052
Somalia,Africa,45.6,55,,"$1,132 ",LI,16.8,0.2,0.3,0.4,0,0,0,0.9,0.1,0.3,116.078.143,196.020.781,17.672.179,712.411.364,-17.897.815,590.239.996,1.251.228.657
South Africa,Africa,63.7,62,0.71,"$13,157 ",UM,60.8,0.6,0.1,0.2,2.2,0.1,0.1,3.2,0.5,0.5,31.594.415,150.192.177,50.031.339,1.275.586.245,-1.937.300.307,2.127.436.006,2.518.752.898
South Sudan,Africa,39,55,0.39,$794,LM,11.6,0.3,1.1,0.2,0.1,0,0,1.7,0.3,1.1,363.152.422,6.688.914,23.624.027,1.782.236.013,11.319.203,1.105.169.512,936.488.754
Spain,EU-27,79.9,83,0.91,"$39,753 ",HI,46.7,1.2,0.2,0.2,1.8,0.5,0.1,3.9,1.1,0.1,411.346.213,60.670.944,57.379.487,172.215.542,-2.193.410.924,2.592.720.499,2.273.642.842
Sudan,Africa,49.6,65,0.51,"$3,804 ",LM,46,0.3,0.5,0.1,0.2,0,0,1.1,0.4,0.5,218.923.148,18.979.283,19.533.009,1.131.661.469,-10.194.273,756.088.016,1.009.008.236
Suriname,South America,71.6,70,0.73,"$14,818 ",UM,0.6,0.3,0,0.9,1.7,0.1,0.1,3.1,0.3,0,6.794.996.108,6.479.268.601,103.943.459,7.483.845.211,7.169.935.685,2.078.574.567,41.944.952
Sweden,EU-27,85.2,83,0.95,"$53,897 ",HI,10.2,1,0.3,1.3,2.1,0.1,0.2,4.9,0.7,0.1,5.523.063.853,2.011.729.656,186.263.431,851.950.749,3.581.579.343,3.269.684.741,579.602.536
Switzerland,Other Europe,80.8,84,0.96,,HI,8.8,0.6,0.2,0.3,2.4,0,0.2,3.7,0.2,0.1,649.536.393,7.490.124,172.590.045,1.126.134.218,-2.609.829.847,2.473.795.553,3.317.512.252
Syrian Arab Republic,Middle East/Central Asia,57.4,72,0.58,,LM,19.4,0.4,0.1,0,0.5,0,0,1,0.4,0.1,43.465.752,3.758.641,2.230.716,599.874.724,-397.388.392,660.344.966,1.662.452.302
Tajikistan,Middle East/Central Asia,69.7,72,0.69,"$3,966 ",LI,10,0.3,0.1,0.2,0.3,0,0.1,1.1,0.2,0.1,5.301.274,9.601.452,104.688.276,447.701.438,-613.270.415,702.530.165,2.369.820.071
"Tanzania, United Republic of",Africa,57.4,66,0.55,"$2,876 ",LI,63.3,0.3,0.2,0.2,0.1,0.1,0,0.9,0.3,0.2,116.900.753,44.997.696,44.710.962,79.975.609,-126.549.295,613.359.792,1.158.234.863
Thailand,Asia-Pacific,,79,0.8,"$18,036 ",UM,70.1,0.5,0,0.2,1.4,0.2,0.1,2.3,0.6,0,218.597.139,183.869.718,9.013.437,1.143.619.577,-1.201.624.761,1.552.920.455,2.050.720.698
Timor-Leste,Asia-Pacific,0,68,0.61,"$2,860 ",LM,1.4,0.3,0.1,0,0.1,0.1,0,0.6,0.2,0.1,541.295.654,794.154.161,21.591.527,159.116.224,1.024.141.801,375.456.674,356.356.143
Togo,Africa,,62,0.54,"$2,226 ",LI,8.7,0.3,0.1,0.2,0.2,0.1,0,0.9,0.3,0.1,101.009.487,16.329.918,19.096.604,553.858.253,-339.253.802,591.380.589,1.612.528.207
Tonga,Asia-Pacific,0,71,0.75,"$5,810 ",LM,0.1,,,,,,,3.1,,,,,,1.256.949.734,-1.833.476.113,2.046.347.766,245.867.099
Trinidad and Tobago,Central America/Caribbean,60.4,73,0.81,"$25,596 ",HI,1.4,0.4,0.2,0.2,4.5,0.1,0,5.4,0,0,124.025.214,1.208.082.975,993.573,137.945.418,-401.364.274,3.571.078.026,3.909.587.573
Tunisia,Africa,70.7,74,0.73,"$10,535 ",UM,12,0.1,0.1,0.2,0.9,0.1,0,1.4,0.4,0.1,31.424.658,210.163.693,25.266.878,716.018.316,-645.334.105,901.429.325,1.901.281.561
Turkiye,Middle East/Central Asia,70.4,76,0.84,"$32,109 ",UM,85.6,0.9,0.1,0.3,1.9,0,0,3.4,0.8,0.1,532.112.634,39.326.179,42.962.586,1.478.215.807,-191.661.569,2.247.912.163,2.296.573.668
Turkmenistan,Middle East/Central Asia,66.1,69,0.75,"$16,151 ",LM,6.2,0.4,0.5,0,2.9,0,0,3.9,0.4,1.6,11.837.418,104.249.496,463.727,2.152.708.107,-1.708.096.742,2.556.459.779,1.793.464.165
Uganda,Africa,54.9,63,0.53,,LI,48.4,0.3,0.1,0.4,0.1,0.1,0,1,0.3,0.1,8.342.447,32.039.474,33.057.533,478.872.706,-499.087.529,647.563.423,2.042.213.355
Ukraine,Other Europe,75.7,70,0.77,,LM,43.2,,,,,,,2,,,,,,30.867.497,1.073.227.971,1.333.267.937,652.311.306
United Arab Emirates,Middle East/Central Asia,68.8,79,0.91,"$67,026 ",HI,10.1,0.8,0.6,0.6,6.5,0.3,0,8.7,0,0,61.907.523,450.007.816,0,543.236.143,-817.159.126,5.770.585.826,1.604.242.927
United Kingdom,Other Europe,80.6,81,0.93,"$47,366 ",HI,68.5,0.7,0.2,0.4,2.1,0.1,0.1,3.6,0.4,0.1,150.714.141,286.077.624,97.711.509,1.020.497.152,-2.544.799.528,2.360.786.914,3.493.686.065
United States of America,North America,74.6,76,0.92,"$65,118 ",HI,334.8,1.3,0.3,0.8,4.8,0.1,0.1,7.5,1.7,0.2,1.433.903.996,313.289.262,51.251.989,3.720.832,-3.739.800.091,4.940.111.353,2.005.097.809
Uruguay,South America,,75,0.81,"$22,837 ",UM,3.5,0.3,0.6,0.4,0.7,0,0.1,2.2,1.1,4.9,1.329.715.171,2.190.588.968,82.052.832,9.557.758.836,7.395.636.352,1.431.664.998,226.216.472
Uzbekistan,Middle East/Central Asia,69.9,71,0.73,,LM,34.4,0.5,0.2,0.1,1.2,0,0.1,2.1,0.4,0.2,53.231.593,8.917.271,65.883.123,730.073.847,-1.377.057.783,1.395.252.408,2.886.189.717
Vanuatu,Asia-Pacific,0,70,0.61,"$2,442 ",LM,0.3,,,,,,,1.8,,,,,,18.364.544,6.197.676,1.211.917.691,996.625.195
"Venezuela, Bolivarian Republic of",South America,60.3,71,0.69,,UM,29.3,0.3,0.6,0.1,0.9,0.1,0,2.1,0.2,0.6,1.805.860.893,259.061.964,43.885.182,2.945.991.731,836.455.041,1.396.844.936,716.070.133
Viet Nam,Asia-Pacific,72.8,74,0.7,"$11,032 ",LM,99,0.5,0,0.4,1.3,0.1,0.1,2.4,0.4,0,155.676.974,149.952.414,78.597.105,79.507.003,-1.637.204.158,1.610.547.898,3.059.194.909
Yemen,Middle East/Central Asia,52.1,64,0.46,"$1,780 ",LM,31.2,0.3,0.1,0,0.2,0.1,0,0.6,0.1,0.1,30.011.215,146.865.083,1.953.004,347.502.131,-265.756.229,406.073.446,1.764.761.437
Zambia,Africa,,,,,LM,19.5,0.3,0.1,0.5,0.2,0,0.1,1.2,0.3,0.7,62.078.114,16.994.124,63.169.875,1.651.919.903,438.704.985,803.339.009,734.427.206
Zimbabwe,Africa,,,,,LI,15.3,0.3,0.3,0.3,0.3,0,0,1.1,0.2,0.3,118.372.555,8.839.451,26.970.101,631.495.216,-453.895.888,718.699.548,1.718.763.779
